Name: Music | Type: directory | Size: 192 bytes | ModTime: Apr  9 19:11  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Movies | Type: directory | Size: 224 bytes | ModTime: Apr  9 19:11  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Applications | Type: directory | Size: 128 bytes | ModTime: Jan 28 23:36  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Documents | Type: directory | Size: 512 bytes | ModTime: Apr  9 19:11  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Zomboid | Type: directory | Size: 416 bytes | ModTime: Feb  1 04:08  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Downloads | Type: directory | Size: 2144 bytes | ModTime: May 25 10:11  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Music | Type: directory | Size: 192 bytes | ModTime: Apr  9 19:11  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 0
Name: C++ | Type: directory | Size: 128 bytes | ModTime: May 11 09:05  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 0
Name: temp | Type: directory | Size: 384 bytes | ModTime: May  9 15:32  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 0
Name: eclipse | Type: directory | Size: 160 bytes | ModTime: Mar  8 09:55  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 0
Name: Python | Type: directory | Size: 320 bytes | ModTime: May 18 11:54  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 0
Name: JavaWorkspace3_1 | Type: directory | Size: 384 bytes | ModTime: Apr 19 11:16  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 0
Name: PerfectC | Type: directory | Size: 352 bytes | ModTime: May 12 20:08  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 0
Name: Pictures | Type: directory | Size: 256 bytes | ModTime: Apr  9 19:11  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 0
Name: git-test | Type: directory | Size: 128 bytes | ModTime: Feb  8 20:08  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 0
Name: Java_eclipse | Type: directory | Size: 128 bytes | ModTime: Mar 15 10:03  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 0
Name: Desktop | Type: directory | Size: 736 bytes | ModTime: May 25 00:08  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 0
